iter	MAE
0	70.88962465
1	69.89914994
2	68.66139371
3	68.07226161
4	67.12188049
5	66.64642029
6	65.63236778
7	64.74200204
8	64.03924817
9	63.54843838
10	63.01563223
11	62.23445561
12	61.35621951
13	60.48000143
14	59.69975374
15	59.63225987
16	58.83756853
17	58.02270363
18	57.53792417
19	56.98517188
20	56.45473855
21	55.69311124
22	55.01406129
23	54.58148318
24	54.10916239
25	53.40396206
26	52.83493049
27	52.32870698
28	51.62145551
29	51.1116282
30	50.45975476
31	49.8520597
32	49.40975321
33	48.7385882
34	48.2384623
35	47.76772832
36	47.1227578
37	46.50492811
38	46.08851036
39	45.66031306
40	45.24273959
41	44.87156183
42	44.53992895
43	44.03685755
44	43.70352137
45	43.63902968
46	43.32600849
47	42.9746102
48	42.52226607
49	42.28764035
50	41.82423657
51	41.5318212
52	41.11063074
53	40.97799524
54	40.66225423
55	40.23519646
56	39.87568926
57	39.34785416
58	39.15498486
59	38.94098291
60	38.64875051
61	38.19523322
62	37.9095351
63	37.62899889
64	37.35038843
65	37.12828641
66	36.97293344
67	36.43533038
68	36.29257298
69	35.98327746
70	35.717679
71	35.51454397
72	35.2299204
73	34.78956837
74	34.46222736
75	34.2020124
76	33.9847276
77	33.7590567
78	33.56446632
79	33.13426086
80	32.88622809
81	32.71621058
82	32.45799253
83	32.07768687
84	31.69191311
85	31.55260639
86	31.33473335
87	31.20640863
88	31.05076145
89	30.8682063
90	30.67201845
91	30.53186025
92	30.27269034
93	30.1023825
94	29.8739202
95	29.69030098
96	29.37421059
97	29.2533941
98	28.97073053
99	28.72378463
100	28.61914475
101	28.33988919
102	28.09775501
103	27.96813567
104	27.81611782
105	27.74165809
106	27.73621054
107	27.56937774
108	27.40806844
109	27.33693499
110	27.14307225
111	26.98166694
112	26.85939198
113	26.73001471
114	26.60020622
115	26.44871529
116	26.23619803
117	26.16300677
118	26.03709107
119	25.89161253
120	25.82131126
121	25.64998676
122	25.435667
123	25.2690762
124	25.07877985
125	24.94776098
126	24.76657098
127	24.58616173
128	24.45707678
129	24.32970907
130	24.17367708
131	24.11237754
132	23.93110575
133	23.73728246
134	23.60735561
135	23.47442193
136	23.35848364
137	23.26652459
138	23.12020916
139	22.96184769
140	22.88946297
141	22.72613212
142	22.6155632
143	22.46670611
144	22.36667569
145	22.33551232
146	22.2316599
147	22.05292801
148	21.89790827
149	21.80335736
150	21.7200131
151	21.62034175
152	21.54682213
153	21.44669681
154	21.3478271
155	21.23365569
156	21.14693999
157	20.99886061
158	20.93711323
159	20.85266365
160	20.71626063
161	20.60975536
162	20.4801542
163	20.38509014
164	20.24874555
165	20.16036407
166	20.05749536
167	19.97829205
168	19.81110086
169	19.6923894
170	19.59948597
171	19.53096001
172	19.45724456
173	19.36025846
174	19.30424704
175	19.2274645
176	19.17022987
177	19.13757562
178	19.04662751
179	18.89608237
180	18.69043137
181	18.5695185
182	18.56117199
183	18.46402444
184	18.41139398
185	18.32533338
186	18.28606615
187	18.20544334
188	18.16937809
189	18.11724167
190	17.90443749
191	17.88684236
192	17.79695868
193	17.67500666
194	17.60141064
195	17.51637654
196	17.45631038
197	17.36438543
198	17.27291431
199	17.1622391
200	17.09430542
201	17.07459172
202	16.9561531
203	16.9395632
204	16.84596193
205	16.74462987
206	16.54831846
207	16.48343647
208	16.36115448
209	16.29132796
210	16.15037945
211	16.08945691
212	16.00759516
213	15.94400066
214	15.81978869
215	15.7408351
216	15.63207253
217	15.53503478
218	15.45024846
219	15.31424068
220	15.19364729
221	15.08504773
222	15.01195799
223	14.94469766
224	14.94309866
225	14.86945287
226	14.80688682
227	14.70721406
228	14.64480231
229	14.5583791
230	14.51738523
231	14.42156023
232	14.36973285
233	14.31959851
234	14.24475326
235	14.17079625
236	14.14075642
237	14.10108529
238	14.05899996
239	14.01338593
240	13.9265153
241	13.85898446
242	13.80147983
243	13.7227166
244	13.66586578
245	13.54886078
246	13.47775548
247	13.41992229
248	13.30759194
249	13.27330981
250	13.20551519
251	13.13596883
252	13.10089896
253	13.03733923
254	12.97552643
255	12.87976358
256	12.83486308
257	12.80064442
258	12.72913904
259	12.69496165
260	12.66828493
261	12.62386018
262	12.5844362
263	12.47612175
264	12.40576168
265	12.37230002
266	12.29010475
267	12.20861645
268	12.1130343
269	12.04084056
270	11.99115938
271	11.9714072
272	11.93716694
273	11.85707328
274	11.82175596
275	11.77061219
276	11.73256533
277	11.61611462
278	11.54279998
279	11.49041419
280	11.42657131
281	11.37564876
282	11.3430568
283	11.2742055
284	11.2490001
285	11.19228498
286	11.14518607
287	11.08166918
288	11.05124536
289	10.98004854
290	10.93740101
291	10.91193603
292	10.87398307
293	10.82573236
294	10.78914007
295	10.75584006
296	10.72004072
297	10.67721443
298	10.63309822
299	10.57302424
300	10.54921892
301	10.52047307
302	10.50315637
303	10.48935968
304	10.4392413
305	10.42041951
306	10.37448682
307	10.33064333
308	10.29598649
309	10.25970111
310	10.19378585
311	10.15849115
312	10.1134145
313	10.07746295
314	10.06646289
315	10.01687926
316	9.990542524
317	9.934954654
318	9.882062178
319	9.825383777
320	9.777087521
321	9.739281818
322	9.675638409
323	9.654243145
324	9.595737871
325	9.541805635
326	9.504414697
327	9.464410927
328	9.430510534
329	9.371463701
330	9.31756962
331	9.295386613
332	9.214932255
333	9.191357757
334	9.128332775
335	9.060738979
336	9.024373925
337	8.988600009
338	8.949463707
339	8.897923962
340	8.83886322
341	8.811949929
342	8.766463694
343	8.729215019
344	8.686634567
345	8.65083632
346	8.608194639
347	8.59007228
348	8.541772218
349	8.485946224
350	8.42877999
351	8.373369009
352	8.324609032
353	8.286662407
354	8.268476491
355	8.191128678
356	8.134969037
357	8.09305779
358	8.053174187
359	8.008344114
360	7.968923447
361	7.940921817
362	7.898734655
363	7.878227246
364	7.825681141
365	7.799952223
366	7.77909216
367	7.745396599
368	7.696239325
369	7.636635321
370	7.620395305
371	7.575034744
372	7.536917569
373	7.510352273
374	7.489625392
375	7.459051911
376	7.4397211
377	7.410457701
378	7.35639507
379	7.329002528
380	7.284577895
381	7.250603144
382	7.21705809
383	7.157789403
384	7.134310652
385	7.097194986
386	7.060168937
387	7.033516006
388	6.998582081
389	6.96172499
390	6.935747996
391	6.907710263
392	6.881186194
393	6.83846881
394	6.801999278
395	6.766956296
396	6.729190587
397	6.686381706
398	6.675686373
399	6.652608237
400	6.632465122
401	6.616173829
402	6.572537766
403	6.548660508
404	6.489463609
405	6.442540679
406	6.406502126
407	6.386824062
408	6.351174033
409	6.325638039
410	6.306063653
411	6.291062574
412	6.279298331
413	6.264296676
414	6.250296235
415	6.211241134
416	6.197287839
417	6.155910584
418	6.125952191
419	6.10081435
420	6.07876549
421	6.069641979
422	6.047203982
423	6.020029808
424	5.995865578
425	5.982930672
426	5.965406694
427	5.937163311
428	5.918386788
429	5.886095845
430	5.852883265
431	5.825704124
432	5.809688657
433	5.789274192
434	5.750389514
435	5.720372338
436	5.671881212
437	5.654530754
438	5.643192181
439	5.615633426
440	5.591269282
441	5.577413713
442	5.569096452
443	5.55479892
444	5.533464073
445	5.502115978
446	5.480119464
447	5.443354038
448	5.412471874
449	5.388309122
450	5.360961633
451	5.343497726
452	5.317143899
453	5.306150796
454	5.28375869
455	5.267419005
456	5.245326157
457	5.236190393
458	5.222166063
459	5.174425974
460	5.145308465
461	5.141481778
462	5.135259171
463	5.106656351
464	5.092332639
465	5.074721354
466	5.042113112
467	5.01421333
468	5.003158906
469	4.971943646
470	4.934227739
471	4.921655352
472	4.89988378
473	4.878994721
474	4.848886258
475	4.816624944
476	4.802377109
477	4.787799499
478	4.778488397
479	4.771410147
480	4.7616553
481	4.73863475
482	4.722338902
483	4.690866347
484	4.672321856
485	4.648464527
486	4.63430305
487	4.608219048
488	4.590788611
489	4.577360345
490	4.561388619
491	4.543808778
492	4.535415486
493	4.5126574
494	4.487980375
495	4.468252669
496	4.45866236
497	4.446711694
498	4.426829881
499	4.417129764
500	4.404481463
501	4.399034545
502	4.385154299
503	4.367932916
504	4.347777505
505	4.338956716
506	4.315343848
507	4.308901669
508	4.298404645
509	4.265922531
510	4.259211689
511	4.248746014
512	4.23541571
513	4.228564509
514	4.214967616
515	4.181369391
516	4.163969108
517	4.150719599
518	4.12521748
519	4.112596893
520	4.105424803
521	4.100293309
522	4.09174829
523	4.086534019
524	4.06644575
525	4.044186267
526	4.02995193
527	4.026173996
528	4.004092104
529	3.993027291
530	3.974204622
531	3.958607169
532	3.939553956
533	3.924231537
534	3.906875375
535	3.892703331
536	3.884164588
537	3.867440158
538	3.851210499
539	3.832605521
540	3.815647683
541	3.804219665
542	3.792663713
543	3.780959759
544	3.774477733
545	3.761428313
546	3.747858117
547	3.740393612
548	3.730329114
549	3.706184977
550	3.679882739
551	3.661333645
552	3.636083497
553	3.627613439
554	3.623042568
555	3.602667902
556	3.594578234
557	3.566510794
558	3.564651154
559	3.549894217
560	3.540722687
561	3.530429633
562	3.516091668
563	3.501676743
564	3.488699373
565	3.46089847
566	3.445198343
567	3.436243014
568	3.433150572
569	3.427984755
570	3.406873861
571	3.39179349
572	3.375937266
573	3.373334192
574	3.371356335
575	3.353587984
576	3.346281213
577	3.335498762
578	3.325325036
579	3.303133848
580	3.277541721
581	3.269222779
582	3.241329936
583	3.229724553
584	3.214703565
585	3.198179155
586	3.181127906
587	3.170195937
588	3.161970531
589	3.150336193
590	3.146516232
591	3.136499077
592	3.111439467
593	3.102575335
594	3.095272024
595	3.068838642
596	3.058842903
597	3.050198527
598	3.034817913
599	3.02232318
600	3.017935717
601	3.007893831
602	2.997389977
603	2.987550561
604	2.962133832
605	2.93750366
606	2.925135633
607	2.917764286
608	2.90569769
609	2.895523883
610	2.881571561
611	2.870473407
612	2.855495561
613	2.844230492
614	2.837896013
615	2.824275685
616	2.812658854
617	2.801798571
618	2.791266424
619	2.778221481
620	2.77255717
621	2.751408426
622	2.732959633
623	2.715844936
624	2.713678425
625	2.69523077
626	2.684687925
627	2.676362413
628	2.670485064
629	2.654106619
630	2.651552666
631	2.637519083
632	2.619459251
633	2.61082043
634	2.605631206
635	2.600445563
636	2.593565713
637	2.58680408
638	2.580312026
639	2.574743675
640	2.56723206
641	2.54759906
642	2.524252451
643	2.522859097
644	2.521024457
645	2.518534565
646	2.503923831
647	2.499511663
648	2.492099347
649	2.463271738
650	2.459107365
651	2.44861674
652	2.44103153
653	2.429249318
654	2.413182238
655	2.403140865
656	2.392687198
657	2.373690995
658	2.366389813
659	2.36111935
660	2.356248145
661	2.350852633
662	2.329339419
663	2.32433155
